,country,ISO,firstcase,firstdeath,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,freepress,Region,democracy_cat,democracy,stringencyindex,daystomoststingent,C8_International_travel_controls_4,C8_International_travel_controls_3,C8_International_travel_controls_2,C8_International_travel_controls_1,C7_Restrictions_on_internal_movement_2,C7_Restrictions_on_internal_movement_1,C6_Stay_at_home_requirements_3,C6_Stay_at_home_requirements_2,C6_Stay_at_home_requirements_1,C5_Close_public_transport_2,C5_Close_public_transport_1,C4_Restrictions_on_gatherings_4,C4_Restrictions_on_gatherings_3,C4_Restrictions_on_gatherings_2,C4_Restrictions_on_gatherings_1,C3_Cancel_public_events_2,C3_Cancel_public_events_1,C2_Workplace_closing_3,C2_Workplace_closing_2,C2_Workplace_closing_1,C1_School_closing_3,C1_School_closing_2,C1_School_closing_1
57,Guyana,GUY,2020-03-13,2020-03-13,116.0,3.0,10.0,0.0,147.0,3.8139999999999996,13.0,0.0,,,,,,786559.0,3.952,26.3,5.305,2.8369999999999997,7435.047,,373.159,11.62,,,77.15899999999999,1.6,26.63,Americas,F,74.0,93.38,27.0,14.0,5.0,,-55.0,21.0,-2.0,,21.0,13.0,,27.0,21.0,,,,21.0,-2.0,15.0,,,3.0,,
58,Hong Kong,HKG,2020-01-23,2020-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,30.01,Asia,PF,55.0,69.84,74.0,74.0,4.0,,-22.0,,,,,16.0,,,66.0,,,,3.0,,,6.0,5.0,2.0,,
59,Honduras,HND,2020-03-12,2020-03-27,2460.0,142.0,134.0,1.0,248.0,14.337,14.0,0.10099999999999999,,,,,,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,48.2,Americas,PF,45.0,100.0,9.0,9.0,4.0,,,4.0,,4.0,,,4.0,,4.0,,,,1.0,,8.0,4.0,,1.0,,
60,Croatia,HRV,2020-02-26,2020-03-25,2222.0,1.0,95.0,1.0,541.0,0.244,23.0,0.244,52425.0,857.0,12.77,0.209,people tested,4105268.0,73.726,44.0,19.724,13.052999999999999,22669.797000000002,0.7,253.782,5.59,34.3,39.9,,5.54,28.51,Europe,F,85.0,97.35,26.0,22.0,,18.0,-22.0,26.0,,,26.0,,24.0,,23.0,,,,13.0,,23.0,17.0,,16.0,,
61,Hungary,HUN,2020-03-05,2020-03-16,3473.0,56.0,448.0,6.0,360.0,5.797000000000001,46.0,0.621,131429.0,4192.0,13.605,0.434,tests performed,9660350.0,108.04299999999999,43.4,18.577,11.975999999999999,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,30.84,Europe,PF,70.0,78.44,23.0,11.0,4.0,,,23.0,6.0,,22.0,7.0,,11.0,,,,6.0,6.0,,,11.0,,6.0,,
62,Indonesia,IDN,2020-03-02,2020-03-12,16496.0,490.0,1076.0,33.0,60.0,1.791,4.0,0.121,135726.0,3666.0,0.496,0.013000000000000001,people tested,273523621.0,145.725,29.3,5.319,3.053,11188.743999999999,5.7,342.86400000000003,6.32,2.8,76.1,64.204,1.04,36.82,Asia,PF,61.0,74.88,53.0,17.0,-26.0,,-44.0,53.0,27.0,,39.0,,,14.0,36.0,,,,1.0,,,47.0,13.0,-28.0,,
63,India,IND,2020-01-30,2020-03-13,85940.0,3970.0,2752.0,103.0,62.0,2.877,2.0,0.075,2134277.0,94325.0,1.547,0.068,samples tested,1380004385.0,450.41900000000004,28.2,5.989,3.4139999999999997,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,45.33,Asia,F,71.0,100.0,52.0,52.0,48.0,43.0,-4.0,52.0,46.0,52.0,,-4.0,50.0,,52.0,,,,44.0,35.0,52.0,,46.0,48.0,34.0,
64,Ireland,IRL,2020-03-01,2020-03-12,23956.0,129.0,1518.0,12.0,4852.0,26.125,307.0,2.43,,,,,,4937796.0,69.874,38.7,13.927999999999999,8.677999999999999,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,12.6,Europe,F,97.0,91.8,36.0,,,36.0,,27.0,25.0,,27.0,25.0,26.0,19.0,14.0,,11.0,,11.0,,26.0,,11.0,12.0,,
65,Iran,IRN,2020-02-20,2020-02-20,116635.0,2102.0,6902.0,48.0,1389.0,25.026,82.0,0.5710000000000001,672679.0,14075.0,8.009,0.168,tests performed,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,64.81,MENA,NF,17.0,65.34,45.0,,,,,14.0,,,,28.0,36.0,,,,,59.0,2.0,0.0,31.0,,6.0,14.0,,
66,Iraq,IRQ,2020-02-25,2020-03-06,3193.0,50.0,117.0,2.0,79.0,1.2429999999999999,3.0,0.05,,,,,,40222503.0,88.125,20.0,3.1860000000000004,1.9569999999999999,15663.986,2.5,218.612,8.83,,,94.57600000000001,1.4,55.37,MENA,NF,31.0,97.35,30.0,21.0,-5.0,,,15.0,,,17.0,,17.0,,0.0,,,,0.0,,21.0,,,0.0,,
